network,property,result,runtime,output_intervals,observation
ACASXU_run2a_1_8_batch_2000.onnx,prop_9.vnnlib,SAT/UNSAFE,2.74,"Y0: [-100308.42, 280474.97]; Y1: [-923780.53, 456530.56]; Y2: [-374132.91, 802756.57]; Y3: [-691965.9, 564252.22]; Y4: [-591247.49, 532533.09]",
ACASXU_run2a_1_8_batch_2000.onnx,prop_10.vnnlib,SAT/UNSAFE,3.29,"Y0: [-111982.5, 313159.62]; Y1: [-1031387.33, 509710.51]; Y2: [-417767.08, 896281.3]; Y3: [-772562.49, 629979.19]; Y4: [-660175.89, 594564.34]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,SAT/UNSAFE,10.63,"Y0: [-85378.13, 220749.65]; Y1: [-210119.14, 341891.51]; Y2: [-277687.43, 405513.74]; Y3: [-283044.36, 298127.01]; Y4: [-321453.87, 271275.61]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,SAT/UNSAFE,10.56,"Y0: [-85378.13, 220749.65]; Y1: [-210119.14, 341891.51]; Y2: [-277687.43, 405513.74]; Y3: [-283044.36, 298127.01]; Y4: [-321453.87, 271275.61]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_3.vnnlib,SAT/UNSAFE,5.17,"Y0: [-56505.4, 146095.69]; Y1: [-139067.02, 226270.09]; Y2: [-183779.36, 268379.16]; Y3: [-187327.41, 197307.02]; Y4: [-212741.07, 179540.72]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_4.vnnlib,SAT/UNSAFE,4.26,"Y0: [-33590.19, 86843.39]; Y1: [-82666.52, 134504.43]; Y2: [-109240.96, 159533.05]; Y3: [-111354.67, 117289.15]; Y4: [-126457.22, 106724.35]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_5.vnnlib,SAT/UNSAFE,2.78,"Y0: [-62456.88, 161490.65]; Y1: [-153717.16, 250111.36]; Y2: [-203144.96, 296654.19]; Y3: [-207063.79, 218094.94]; Y4: [-235158.6, 198455.64]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_6.vnnlib,SAT/UNSAFE,22.56,"Y0: [-82156.23, 212423.08]; Y1: [-202193.19, 328996.31]; Y2: [-267217.91, 390216.53]; Y3: [-272366.47, 286881.98]; Y4: [-309331.35, 261046.55]",
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,TIMEOUT,60.02,,no data.csv intervals; 
ACASXU_run2a_1_9_batch_2000.onnx,prop_8.vnnlib,SAT/UNSAFE,21.98,"Y0: [-54477.91, 140856.58]; Y1: [-134080.88, 218155.44]; Y2: [-177187.48, 258749.08]; Y3: [-180609.25, 190231.78]; Y4: [-205110.1, 173101.3]",
